ScoreFMMPAM_FID,CovCount,PointCount,ScoresWin,hwLenKM,Scores,VenueCnt,VALUE,YEAR,IsFMM,UserDaysPA,DaysPAFina,Sum_length,days_pa_km,IsPaM
0,8,5,2.631904,1.519812,2.631905,3,,,0,,,,,0
1,8,1,0.011413,1.369033,0.011413,2,,,0,,,,,0
2,8,4,0.947601,1.055297,0.9476,4,,,0,,,,,0
3,8,4,6.374705,0.15687,6.37471,0,,,0,,,,,0
4,8,1,0.043217,0.361546,0.043217,0,,,0,,,,,0
5,8,2,0.060775,1.02838,0.060775,2,,,0,,,,,0
6,8,3,0.240479,1.03959,0.240479,2,,,0,,,,,0
7,8,1,0.006782,2.303945,0.006782,2,,,0,,,,,0
8,8,2,0.051679,1.2094,0.051678,1,,,0,,,,,0
9,8,4,0.894117,1.118422,0.894117,3,,,0,,,,,0
10,8,5,1.451979,2.754861,1.451979,9,,,0,,,,,0
11,8,3,0.136002,1.83821,0.136002,7,,,0,,,,,0
12,8,5,1.213156,3.297184,1.213157,12,,,0,,,,,0
13,8,1,0.023792,0.656736,0.023792,0,,,0,,,,,0
14,8,1,0.014583,1.071484,0.014583,1,,,0,,,,,0
15,8,1,0.014718,1.061607,0.014718,1,,,0,,,,,0
16,8,1,0.014276,1.094483,0.014276,1,,,0,,,,,0
17,8,4,0.953489,1.04878,0.953489,4,,,0,,,,,0
18,8,3,0.235797,1.060236,0.235797,3,,,0,,,,,0
19,8,2,0.08157,0.766214,0.08157,3,,,0,,,,,0
20,8,1,0.01191,1.311871,0.01191,3,,,0,,,,,0
21,8,4,0.814821,1.227263,0.814822,4,,,0,,,,,0
22,8,2,0.05905,1.058427,0.05905,2,,,0,,,,,0
23,8,6,10.4513,1.53091,10.451302,8,,,0,,,,,0
24,8,5,3.103166,1.289006,3.103165,3,,,0,,,,,0
25,8,1,0.044796,0.348801,0.044796,1,,,0,,,,,0
26,8,5,3.122392,1.281069,3.122392,5,,,0,,,,,0
27,8,5,2.93725,1.361818,2.93725,5,,,0,,,,,0
28,8,4,1.288192,0.776282,1.288191,2,,,0,,,,,0
29,8,3,0.460213,0.543227,0.460213,2,,,0,,,,,0
30,8,1,0.015591,1.002176,0.015591,1,,,0,,,,,0
31,8,3,0.231307,1.080817,0.231306,3,,,0,,,,,0
32,8,3,0.252158,0.991443,0.252158,3,,,0,,,,,0
33,8,5,7.491044,0.533971,7.49105,5,,,0,,,,,0
34,9,1,0.007425,1.05216,0.007425,1,,,0,,,,,0
35,8,3,4.902538,0.050994,4.902508,1,,,0,,,,,0
36,8,4,0.678894,1.472983,0.678895,2,,,0,,,,,0
37,9,1,0.008968,0.871145,0.008968,1,,,0,,,,,0
38,9,3,0.164819,0.75841,0.164819,4,,,0,,,,,0
39,8,2,0.044572,1.402228,0.044572,1,,,0,,,,,0
40,9,3,0.094519,1.32249,0.094519,4,,,0,,,,,0
41,9,5,1.200799,1.665558,1.200799,4,,,0,0.04486,0.168343,1.665558,0.101073,1
42,8,3,1.001326,0.249669,1.001328,0,,,0,,,,,0
43,8,1,0.011611,1.345701,0.011611,2,,,0,,,,,0
44,9,2,0.09327,0.335047,0.09327,0,,,0,0.87101,0.87101,0.335047,2.599663,1
45,9,8,16.82,1.718328,74.491018,6,,,0,63.466254,63.466254,1.718328,36.934889,1
46,9,6,4.875153,1.640974,4.875154,7,,,0,79.342245,79.342245,1.640974,48.35071,1
47,9,3,0.074072,1.687556,0.074072,4,,,0,10.010376,10.010376,1.687556,5.931879,1
48,9,1,0.018427,0.423966,0.018427,1,,,0,4.262014,4.269529,0.423966,10.070452,1
49,9,3,0.094954,1.316428,0.094954,3,,,0,0.364558,0.364558,1.316428,0.27693,1
