ScoreFMM_FID,CovCount,PointCount,ScoresWin,hwLenKM,Scores,VenueCnt,VALUE,YEAR
831,12,6,0.983012,1.017282,0.983012,3,0.2231,28
832,12,2,0.003952,0.988327,0.003952,2,0.0154,14
833,12,6,1.400735,0.713911,1.400734,2,0.0019,4
834,12,2,0.001416,2.758828,0.001416,2,0.2231,28
835,12,1,0.00218,0.447888,0.00218,1,0.2231,28
836,12,1,0.002597,0.375994,0.002597,1,0.0019,4
1128,0,0,0,0.239761,0,0,0.2231,28
1130,0,0,0,0.542431,0,0,0.0154,14
1131,0,0,0,0.410864,0,1,0.0019,4
1132,0,0,0,1.083785,0,0,0.0019,4
1133,12,5,0.191094,1.308256,0.191094,4,0.05,6
1134,12,1,0.00057,1.712726,0.00057,1,0.05,6
1135,12,1,0.000856,1.141221,0.000856,1,0,0
1136,12,1,0.001019,0.957929,0.001019,1,2.3808,203
1137,12,8,12.357913,1.294717,12.357914,6,2.3808,203
1138,12,3,0.01454,1.07465,0.01454,3,0.0077,19
1139,12,4,0.109397,0.571315,0.109397,1,0.0077,19
1140,12,7,3.682261,1.086289,3.68226,2,0.0904,298
1141,12,3,0.014493,1.078071,0.014493,2,0.0904,298
1142,12,1,0.000951,1.026621,0.000951,1,0.0904,298
1143,12,1,0.000428,2.279621,0.000428,1,0.0269,36
1144,12,1,0.000647,1.510419,0.000647,1,0.0269,36
1145,12,2,0.003107,1.257231,0.003107,3,0.0269,36
1146,12,3,0.007901,1.977598,0.007901,0,0.1538,45
1147,12,1,0.005113,0.190987,0.005113,0,0.0173,50
1148,12,1,0.00054,1.808634,0.00054,1,0.0904,298
1149,12,1,0.001073,0.910432,0.001073,1,0.0269,36
1150,12,1,0.000649,1.504727,0.000649,1,0.0269,36
1151,12,5,0.266085,0.939549,0.266085,1,0.0269,36
1152,12,5,0.265741,0.940767,0.265741,6,0.075,27
1153,12,1,0.000554,1.762034,0.000554,0,0.0173,50
1154,12,5,0.227833,1.097295,0.227833,3,0.0173,50
1155,12,1,0.001056,0.924779,0.001056,1,0.0077,6
1156,12,2,0.002906,1.344214,0.002906,1,0.0269,36
1157,12,1,0.001098,0.889801,0.001098,1,0.0269,26
1158,12,3,0.018807,0.830829,0.018807,2,0.0077,4
1159,12,1,0.000562,1.737326,0.000562,0,0,0
1160,12,2,0.002772,1.409201,0.002772,1,0,0
1161,12,2,0.0027,1.446921,0.0027,2,0.0077,4
1162,12,1,0.0009,1.085214,0.0009,0,0.0077,4
1163,12,4,0.036926,1.692582,0.036926,3,0.0019,2
1164,12,6,0.585117,1.70906,0.585117,6,0.0615,88
1165,12,3,0.014876,1.050372,0.014876,1,0.0615,88
1166,12,1,0.00044,2.221494,0.00044,1,0.0115,5
1167,12,5,0.112686,2.21856,0.112686,4,0.0019,2
1168,12,3,0.007009,2.229298,0.007009,1,0,0
1169,12,4,0.04971,1.257286,0.04971,3,7.1846,1582
1170,12,1,0.000449,2.17378,0.000449,1,0.0615,88
1171,12,5,0.324023,0.77155,0.324023,1,0.3962,148
1172,12,4,0.054939,1.137633,0.054939,4,0.3962,148
1173,12,4,0.034893,1.791173,0.034893,2,1.1519,125
1174,12,1,0.002087,0.467851,0.002087,0,1.1519,125
1175,12,2,0.002792,1.399204,0.002792,2,0.0154,16
1176,12,3,0.019464,0.80278,0.019464,4,1.1519,125
1177,12,6,0.427072,2.341525,0.427072,5,1.1519,125
1178,12,4,0.020855,2.996903,0.020855,3,1.8346,174
1179,12,1,0.000447,2.184987,0.000447,1,0.0385,105
1180,12,1,0.001228,0.794953,0.001228,2,0.0385,105
1181,12,4,0.064045,0.975873,0.064045,2,1.8346,174
1182,12,1,0.00028,3.487834,0.00028,1,1.8346,174
1183,12,5,0.211752,1.180625,0.211752,3,1.8346,174
1184,12,2,0.001984,1.969307,0.001984,2,0.0038,2
1185,12,6,0.439903,2.273231,0.439903,2,0.0385,105
1186,12,7,5.338978,0.749207,5.338978,4,0.1269,36
1187,12,1,0.002679,0.364506,0.002679,1,0.0038,2
1188,12,1,0.000402,2.428946,0.000402,1,0.6885,230
1189,12,1,0.000747,1.307248,0.000747,1,0.0385,105
1190,12,4,0.088264,0.708106,0.088264,1,0.6885,230
1191,12,4,0.123434,0.506342,0.123434,3,0.6885,230
1192,12,6,0.215483,4.640747,0.215483,3,0.975,494
1193,12,5,0.308822,0.809529,0.308822,4,0.3365,88
1194,12,3,0.017643,0.885605,0.017643,0,0.3365,88
1195,12,2,0.003659,1.067535,0.003659,2,0.0019,4
1196,12,4,0.056371,1.108734,0.056371,3,0.0019,4
1197,12,1,0.000605,1.615264,0.000605,1,2.5365,204
1198,12,1,0.000291,3.359675,0.000291,1,0.975,494
1199,12,3,0.013743,1.136973,0.013743,4,0.3365,88
