scorepam_fid,covcount,pointcount,scoreswin,hwlenkm,scores,venuecnt,userdayspa,dayspafina,sum_length,days_pa_km
41,9,5,1.200799,1.665558,1.200799,4,0.04486,0.168343,1.665558,0.101073
44,9,2,0.09327,0.335047,0.09327,0,0.87101,0.87101,0.335047,2.599663
45,9,8,16.82,1.718328,74.491018,6,63.466254,63.466254,1.718328,36.934889
46,9,6,4.875153,1.640974,4.875154,7,79.342245,79.342245,1.640974,48.35071
47,9,3,0.074072,1.687556,0.074072,4,10.010376,10.010376,1.687556,5.931879
48,9,1,0.018427,0.423966,0.018427,1,4.262014,4.269529,0.423966,10.070452
49,9,3,0.094954,1.316428,0.094954,3,0.364558,0.364558,1.316428,0.27693
50,9,3,0.08822,1.416905,0.08822,1,0,0,0,0
52,9,3,0.10583,1.181139,0.10583,4,3.05013,3.161932,1.181139,2.677019
55,9,1,0.012809,0.609904,0.012809,1,2.254701,2.254701,0.609904,3.69681
56,9,1,0.010287,0.759474,0.010287,1,0.445435,0.445435,0.759474,0.586504
58,9,3,0.195373,0.639801,0.195373,3,1.269227,1.269227,0.639801,1.983785
59,9,2,0.024716,1.264383,0.024716,1,0.844579,0.844579,1.264383,0.667977
61,9,1,0.006923,1.12841,0.006923,1,2.657094,2.657094,1.12841,2.354723
62,9,2,0.029749,1.050442,0.029749,2,1.713059,2.400177,1.050442,2.284921
71,9,3,0.064847,1.927608,0.064847,2,57.489911,57.491771,1.927608,29.825446
72,9,1,0.007208,1.083866,0.007208,1,1.749746,1.749746,1.083866,1.614356
73,9,1,0.026117,0.299134,0.026117,1,0.526066,0.526066,0.299134,1.758632
76,9,1,0.00582,1.342251,0.00582,1,60.006986,60.006986,1.342251,44.706228
77,9,2,0.028417,1.099697,0.028417,2,1.716713,1.716713,1.099697,1.561078
78,9,2,0.026956,1.159302,0.026956,2,6.147214,6.147214,1.159302,5.302512
79,9,2,0.041647,0.750347,0.041647,2,1.658196,1.658196,0.750347,2.209906
100,0,0,0,1.402394,0,0,0.003027,0.003027,1.402394,0.002158
102,0,0,0,0.613572,0,0,0,0,0,0
113,0,0,0,0.221273,0,0,2.639883,2.639883,0.221273,11.930446
114,0,0,0,0.809093,0,0,0.319465,0.319465,0.809093,0.394843
122,0,0,0,1.573486,0,0,0.610257,0.610257,1.573486,0.387838
123,0,0,0,0.114708,0,0,0,0,0,0
